,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th,sigma_clipped
354,0.028089999999999997,10.122413098386476,0.03566617354576015,0.033528995678784174,145.97733533226966,6.247380144114572,7.969832550335383,2.0751464073667423,0.12490795885298578,0.12161128141041688,1.8100078350036193,0.22294928619624876,0.23718336238231075,27.77584380407184,2.2352495457035957,1.8819442526252423,
355,0.02822,10.532806681145466,0.016270261733105508,0.017140521703913177,120.21321228543215,3.850739558159418,3.598952876695151,2.1145425721220654,0.0849571901676911,0.09426360786911392,2.129910961076158,0.17085630282454622,0.170482401914406,37.32434312731734,1.3709931506642334,1.4774827109439173,
356,0.02823,10.378807388513547,0.02600255541888821,0.02700597334286143,124.27006142730565,5.6133636050339675,6.19532572267434,2.193411983397737,0.09505434733729201,0.10269424710212238,1.507285753867261,0.2517684174633361,0.26950552441140463,34.78216075762448,2.1994690366804264,2.1604512900952813,
357,0.02825,10.424008252588674,0.03419673232004849,0.031995370913804264,141.39590258856035,5.343396680421449,6.26966812873161,2.2048725044829727,0.12223137877512391,0.12089233406215172,1.9385632439467444,0.16867301468755702,0.17632347134211157,28.95766756774779,1.9016247082888498,1.710417077159967,
358,0.02843,10.236085990249798,0.02149571344194762,0.021941240776941293,134.41972440992524,4.6747133399170195,4.659589143350104,2.111205379248844,0.08201072858740854,0.08483317150165304,2.0336220169602113,0.2557188593664521,0.26892084102346514,31.28325890032215,1.52239554185984,1.591512482483953,
359,0.028589999999999997,10.634341114921108,0.015804783362111344,0.016279424816125765,129.6232204174167,3.566063009530893,3.4435331870649577,2.1849143092097902,0.07462355168960988,0.07941597578367432,2.015752380529661,0.1592583635697118,0.15979579037290792,33.01714483439928,1.1900859882579269,1.2650698106137312,
360,0.02885,10.080922503494993,0.042279314247960685,0.04014190463123729,104.95860915856979,6.412863273142193,7.603314588969198,3.0989487938933187,0.2846974432016989,0.33272267967469915,1.2441905422773702,0.3503749494082159,0.3622944949901368,43.02464737546655,3.357708194837315,3.2514808539076014,
361,0.0286,10.173831342800112,0.022600498420416535,0.024117604320708287,131.31172533514348,4.938508637030694,4.878638010760255,2.1980401419728857,0.0917469813928089,0.10023452109633713,1.8766027404166228,0.21581934261567226,0.2241155765528342,32.30207644736855,1.6323781960867834,1.7382459438147038,
362,0.028939999999999997,10.336563778038762,0.014663547304277262,0.015281991658533462,127.21046291078254,3.3222161823942713,3.188261255341743,2.1814907936285852,0.07108847321080969,0.07807467862450945,2.182317387265127,0.18148760394479035,0.18157028946079956,34.271621423860324,1.1068210948825907,1.1640055320437597,
363,0.0292,10.739507478290978,0.015903349436688505,0.01608677175309444,119.58927847479087,3.578331572372221,3.504745373683676,2.112429142514916,0.07056024624072466,0.0744061954678088,2.248199745467658,0.14938470690359695,0.14500541395013178,37.94724028930553,1.3732804398821585,1.4552457619255463,
364,0.029560000000000003,11.070716303866693,0.014327543335776847,0.014335885599600553,131.11957569280978,3.223172815112065,3.076467899868618,2.347056660946781,0.07075013866313284,0.07475648868879192,2.2236891459784447,0.11388385565588965,0.10804474218579108,32.697348357757846,1.0950892462774213,1.158426311067096,
365,0.029930000000000002,10.446121533625561,0.01969214002289617,0.020947162168393697,131.76227213134206,4.5518092205595195,4.313190631915262,1.9362930580254558,0.07396520712855326,0.0809298598873045,2.1996294772782115,0.1915653455489803,0.18968274299839072,32.40387160523943,1.4821614303778539,1.634432299703164,
366,0.030189999999999998,10.54321695943054,0.027824851338226684,0.028077175971378397,112.98773053964602,4.311455746537575,4.356783490791017,4.0556021471644055,0.22685944008491976,0.26912366671546284,1.074954130015722,0.3103703198040113,0.36638631719949877,39.582715348147,1.9251919685102834,1.99869861486048,
